GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,AIANHHA,NAME,FYF001,FYF002,FYF003,FYF004,FYF005,FYF006,FYF007,FYF008,FYF009,FYF010,FYF011,FYF012,FYF013,FYF014
"G11000100003003007","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","3","3007","9999","Block 3007",109,1,0,17,0,0,0,8,0,0,0,0,0,0
"G11000100003004000","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","4","4000","9999","Block 4000",113,1,0,3,0,0,1,5,0,0,0,0,0,0
"G11000100003004001","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","4","4001","9999","Block 4001",163,4,0,12,0,0,4,6,0,0,0,0,3,1
"G11000100003004002","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","4","4002","9999","Block 4002",142,0,0,10,0,2,1,4,0,0,0,0,0,0
"G11000100003004003","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","4","4003","9999","Block 4003",89,2,0,2,0,2,6,2,1,0,0,0,1,0
"G11000100003004004","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","4","4004","9999","Block 4004",79,2,0,2,0,0,3,3,0,0,0,0,3,1
"G11000100003004005","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","4","4005","9999","Block 4005",61,2,0,10,0,2,7,3,0,0,0,0,0,0
"G11000100003004006","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","4","4006","9999","Block 4006",151,3,0,6,0,0,0,5,0,0,0,0,0,0
"G11000100003004007","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","4","4007","9999","Block 4007",107,0,0,5,0,2,1,2,0,0,0,0,1,2
"G11000100003004008","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","4","4008","9999","Block 4008",6,0,0,1,0,0,0,1,0,0,0,0,0,0
"G11000100003004009","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","4","4009","9999","Block 4009",98,6,0,6,0,0,2,0,0,0,0,0,1,0
"G11000100003004010","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","4","4010","9999","Block 4010",95,2,0,8,0,0,2,0,0,0,0,0,3,0
"G11000100003004011","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","4","4011","9999","Block 4011",116,2,0,5,0,1,3,3,0,0,0,0,0,0
"G11000100003005000","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","5","5000","9999","Block 5000",131,0,0,8,0,1,0,3,0,0,0,0,2,0
"G11000100003005001","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","5","5001","9999","Block 5001",167,13,1,9,0,0,2,9,0,0,0,0,0,0
