GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015
G11000100047,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,47,,,,,,,,,,,State: 11 County: 001 Tract: 47,161,3960,2,0,0,1,66,0,0,0,1,1,0,0,26
G1100010004801,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,4801,,,,,,,,,,,State: 11 County: 001 Tract: 48.01,50,2020,1,0,0,0,9,0,0,0,0,1,0,1,7
G1100010004802,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,4802,,,,,,,,,,,State: 11 County: 001 Tract: 48.02,80,2854,5,0,0,4,17,4,0,1,0,1,0,0,39
G1100010004901,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,4901,,,,,,,,,,,State: 11 County: 001 Tract: 49.01,78,2203,4,0,0,2,4,1,0,0,0,0,0,0,33
G1100010004902,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,4902,,,,,,,,,,,State: 11 County: 001 Tract: 49.02,192,1490,4,0,0,1,33,2,0,1,1,0,0,0,21
G11000100050,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,50,,,,,,,,,,,State: 11 County: 001 Tract: 50,1234,3987,8,0,0,3,29,25,6,3,4,5,0,0,135
G11000100051,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,51,,,,,,,,,,,State: 11 County: 001 Tract: 51,501,448,5,0,0,1,81,9,1,9,34,1,0,0,128
G1100010005201,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,5201,,,,,,,,,,,State: 11 County: 001 Tract: 52.01,1786,1748,11,0,0,6,56,48,8,19,14,3,0,0,275
G1100010005202,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,5202,,,,,,,,,,,State: 11 County: 001 Tract: 52.02,428,89,1,2,0,3,10,13,2,8,0,0,0,0,35
G1100010005301,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,5301,,,,,,,,,,,State: 11 County: 001 Tract: 53.01,3189,961,11,0,0,16,43,44,4,16,35,2,0,0,315
